,colonia,precio por metro cuadrado,ID
0,Bosque Residencial del Sur,21923,13007
1,San Lorenzo La Cebada,34105,13038
2,Barrio Ahualapa,27128,0
3,Santiago Tepalcatlalpan,35714,13074
4,San Juan Tepepan,29885,13018
5,Paseos del Sur,29978,13013
6,Santa María Nativitas,36429,13140
7,Tablas de San Lorenzo,19286,13067
